run_id,point_type,A,B,C,D,licuri_oil_pct,glucose_pct,ammonium_nitrate_pct,yeast_extract_pct,STred_mNm
1,Factorial,1,-1,1,-1,5,4,0.5,0.2,25.782999999999994
2,Factorial,-1,1,-1,-1,2,10,0.2,0.2,34.921
3,Factorial,-1,-1,1,-1,2,4,0.5,0.2,28.47200000000001
4,Factorial,-1,-1,-1,1,2,4,0.2,0.5,32.576
5,Center,0,0,0,0,3.5,7,0.35,0.35,30.320999999999998
6,Axial,0,2,0,0,3.5,13,0.35,0.35,32.145
7,Center,0,0,0,0,3.5,7,0.35,0.35,31.438000000000002
8,Factorial,-1,1,-1,1,2,10,0.2,0.5,31.098000000000006
9,Factorial,1,1,-1,1,5,10,0.2,0.5,31.265
10,Factorial,1,-1,-1,-1,5,4,0.2,0.2,23.59199999999999
11,Axial,2,0,0,0,6.5,7,0.35,0.35,31.254000000000005
12,Factorial,1,-1,1,1,5,4,0.5,0.5,42.78200000000001
13,Factorial,-1,-1,1,1,2,4,0.5,0.5,34.116
14,Factorial,1,-1,-1,1,5,4,0.2,0.5,37.602000000000004
15,Axial,0,0,-2,0,3.5,7,0.05,0.35,30.924
16,Factorial,-1,1,1,-1,2,10,0.5,0.2,26.332
17,Axial,-2,0,0,0,0.5,7,0.35,0.35,29.11100000000001
18,Axial,0,-2,0,0,3.5,1,0.35,0.35,31.265
19,Center,0,0,0,0,3.5,7,0.35,0.35,32.115
20,Factorial,1,1,1,1,5,10,0.5,0.5,30.921
21,Factorial,1,1,1,-1,5,10,0.5,0.2,24.491000000000007
22,Factorial,1,1,-1,-1,5,10,0.2,0.2,26.775000000000006
23,Axial,0,0,0,-2,3.5,7,0.35,0.05,22.33100000000001
24,Factorial,-1,-1,-1,-1,2,4,0.2,0.2,25.935000000000002
25,Axial,0,0,0,2,3.5,7,0.35,0.65,35.789
26,Axial,0,0,2,0,3.5,7,0.65,0.35,32.786
27,Factorial,-1,1,1,1,2,10,0.5,0.5,30.832
