run_id,X1,X2,X3,X4,licuri_oil_g_L,glucose_g_L,yeast_extract_g_L,ammonium_nitrate_g_L,Y1_surface_tension_mNm,Y2_E24_motor_pct,Y3_E24_canola_pct
1,-1,-1,-1,-1,20,20,2,1,42.827,75,6.67
2,1,-1,-1,-1,40,20,2,1,41.258,66.67,53.33
3,-1,1,-1,-1,20,100,2,1,45.932,66.67,5
4,1,1,-1,-1,40,100,2,1,32.174,66.67,33.33
5,-1,-1,1,-1,20,20,8,1,48.754,66.67,33.33
6,1,-1,1,-1,40,20,8,1,32.501,66.67,6.67
7,-1,1,1,-1,20,100,8,1,43.756,93.33,13.33
8,1,1,1,-1,40,100,8,1,34.564,90,75
9,-1,-1,-1,1,20,20,2,3,41.927,50,80
10,1,-1,-1,1,40,20,2,3,41.73,50,60
11,-1,1,-1,1,20,100,2,3,38.179,66.67,13.33
12,1,1,-1,1,40,100,2,3,44.733,66.67,0
13,-1,-1,1,1,20,20,8,3,43.617,66.67,0
14,1,-1,1,1,40,20,8,3,44.316,62.5,6.67
15,-1,1,1,1,20,100,8,3,46.794,66.67,25
16,1,1,1,1,40,100,8,3,42.647,94.44,25
17,0,0,0,0,30,60,5,2,39.474,25,20
18,0,0,0,0,30,60,5,2,40.447,66.67,13.33
19,0,0,0,0,30,60,5,2,45.415,66.67,4.55
