experiment_id,z1_glycerol,z2_olive_oil,z3_hexadecane,z4_glucose,delta_ST_mNm,EI_pct,glycerol_pct,olive_oil_pct,hexadecane_pct,glucose_pct
1,-1,-1,-1,-1,9,6.9,0,0,0,0
2,1,-1,-1,-1,19.5,62.3,2,0,0,0
3,-1,1,-1,-1,2,11.6,0,4,0,0
4,1,1,-1,-1,11,25.5,2,4,0,0
5,-1,-1,1,-1,2.6,12.8,0,0,2,0
6,1,-1,1,-1,10.7,70.2,2,0,2,0
7,-1,1,1,-1,2,27.5,0,4,2,0
8,1,1,1,-1,9.9,39.3,2,4,2,0
9,-1,-1,-1,1,27.8,56.2,0,0,0,4
10,1,-1,-1,1,20.2,82.9,2,0,0,4
11,-1,1,-1,1,14.4,48.8,0,4,0,4
12,1,1,-1,1,14.8,40,2,4,0,4
13,-1,-1,1,1,14.9,47.3,0,0,2,4
14,1,-1,1,1,12.6,76.8,2,0,2,4
15,-1,1,1,1,14.4,38.9,0,4,2,4
16,1,1,1,1,13,26,2,4,2,4
17,0,0,0,0,10.9,42.3,1,2,1,2
18,0,0,0,0,9.8,43.1,1,2,1,2
19,0,0,0,0,11.2,43.9,1,2,1,2
