metric_path,n,mean,sd,ci95_low,ci95_high,min,max,files
ctgan.fidelity.corr_frobenius_diff,3,0.8319924939182872,0.06811192905661115,0.7549165903896033,0.9090683974469711,0.7561842376470416,0.8880368009573192,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.correlation_preservation.correlation_of_correlations,3,-0.023402355133432928,0.3507875487018081,-0.42035583504929436,0.3735511247824285,-0.350405812070108,0.34711014283210123,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.energy_distance,3,0.5451124295634765,0.2907061603679744,0.21614744087415266,0.8740774182528004,0.21040272987289654,0.7345384002609521,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.mmd_rbf,3,0.003752338796492616,0.002621801409178292,0.0007854912077649946,0.006719186385220237,0.0007403980368259067,0.005522888605539622,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.multiple_testing.bonferroni_conservative.n_rejected,3,0.0,0.0,0.0,0.0,0.0,0.0,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.multiple_testing.fdr_primary.corrected_pvalues[0],3,0.9999999999153139,1.466145002324232e-10,0.9999999997494039,1.0000000000812237,0.999999999746018,1.0,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.multiple_testing.fdr_primary.corrected_pvalues[1],3,0.9999999999153139,1.466145002324232e-10,0.9999999997494039,1.0000000000812237,0.999999999746018,1.0,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.multiple_testing.fdr_primary.corrected_pvalues[2],3,0.9999999999153139,1.466145002324232e-10,0.9999999997494039,1.0000000000812237,0.999999999746018,1.0,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.multiple_testing.fdr_primary.corrected_pvalues[3],3,0.9999999999153139,1.466145002324232e-10,0.9999999997494039,1.0000000000812237,0.999999999746018,1.0,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.multiple_testing.fdr_primary.corrected_pvalues[4],3,0.9999999999153139,1.466145002324232e-10,0.9999999997494039,1.0000000000812237,0.999999999746018,1.0,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
ctgan.fidelity.multiple_testing.fdr_primary.n_rejected,3,0.0,0.0,0.0,0.0,0.0,0.0,eval_test1_rf_regularized.json; eval_test2_rf_and_full_synth.json; eval_test3_seed123.json
