term,label,coef_real,p_real,coef_synth,p_synth,category,S,M,D,scenario,generator,synthetic_realisation,synthetic_dir
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.354687600290144,0.32346005945502515,strong,1,0,0,baseline_0pct,ctgan,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.11488351901419769,0.781343864821992,strong,0,0,0,baseline_0pct,ctgan,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,0.23259181617411495,0.6936563628112794,strong,0,0,0,baseline_0pct,tabddpm,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.3861787852408076,0.39785532642169535,strong,1,0,0,baseline_0pct,tabddpm,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.23931750625414683,0.634371788830535,strong,1,0,0,baseline_0pct,tvae,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.07859513511666771,0.8203141849798283,strong,1,0,0,baseline_0pct,tvae,1,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.5115040553741945,0.16263496304933128,strong,1,0,0,baseline_0pct,ctgan,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.4781035208458926,0.29343940078965347,strong,0,0,0,baseline_0pct,ctgan,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.612112534344029,3.137201591238993e-06,strong,1,0,1,baseline_0pct,gaussian_copula,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08779550913811907,0.8129389442745737,strong,0,0,0,baseline_0pct,gaussian_copula,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6465198117797017,0.009367120406987643,strong,1,0,1,baseline_0pct,tabddpm,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-1.0763545758079753,0.06585734839818241,strong,1,0,0,baseline_0pct,tabddpm,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,0.702261584247422,0.10738584994875926,strong,0,0,0,baseline_0pct,tvae,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-1.1684429556683256,0.004075783727265986,strong,1,0,1,baseline_0pct,tvae,2,runs\peerfix2_final_validation\full_repeats\baseline_0pct\seed_124\synthetic_datasets
