term,label,coef_real,p_real,coef_synth,p_synth,category,S,M,D,scenario,generator,synthetic_realisation,synthetic_dir
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,0.059833093608189,0.8622278752666288,strong,0,0,0,sensitivity_1pct,ctgan,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.4944249993530627,0.2001891456404231,strong,0,0,0,sensitivity_1pct,ctgan,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.5976388818789036,3.5808122769104517e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.06735143238248043,0.8555660645805931,strong,0,0,0,sensitivity_1pct,gaussian_copula,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.197048863601914,0.05819760779062913,strong,1,0,0,sensitivity_1pct,tabddpm,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-0.3935883096748942,0.4418719534996645,strong,1,0,0,sensitivity_1pct,tabddpm,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.8303481586521491,0.025569969661715646,strong,1,0,1,sensitivity_1pct,tvae,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,-1.0229852205314751,0.00879509924358587,strong,1,0,1,sensitivity_1pct,tvae,1,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_123\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-0.5256617604153351,0.11439800956800304,strong,1,0,0,sensitivity_1pct,ctgan,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.6204468624067888,0.11470866944463137,strong,0,0,0,sensitivity_1pct,ctgan,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
kh2po4_pv,Potassium phosphate main effect (confirmed TS effect),-1.9168749999999966,0.030177642338557378,-1.6059591673343938,3.126273861636862e-06,strong,1,0,1,sensitivity_1pct,gaussian_copula,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
urea_pv:ammonium_sulfate_pv,Urea x ammonium sulfate interaction (borderline TS effect),-1.885625000000004,0.03232519475527886,0.08527871939329934,0.8174908978804688,strong,0,0,0,sensitivity_1pct,gaussian_copula,2,runs\peerfix2_final_validation\full_repeats\sensitivity_1pct\seed_124\synthetic_datasets
