dataset_id,response,generator,geometry,TRTR_r2_mean,TSTR_r2_mean,AUGTR_r2_mean,delta_r2_mean,augmentation_delta_r2_mean,ICD_mean,ICD_sd,KS_mean,Wasserstein_mean,corr_of_corr_mean,DOE_cell_coverage_mean
ext_c_ei,EI,gaussian_copula,experiment-wise,0.2235543029,0.0990858095,0.1377308194,-0.1244684934,-0.0858234835,0.2570576190,0.0133202938,0.2189473684,5.5782611978,0.7918144053,0.9235294118
ext_c_ei,EI,gaussian_copula,grouped-condition,0.0798865294,-0.1244597278,-0.0669864154,-0.2043462573,-0.1468729448,0.2570576190,0.0133202938,0.2189473684,5.5782611978,0.7918144053,0.9235294118
ext_c_ei,EI,ctgan,experiment-wise,0.2235543029,-0.6312292751,-0.3621598444,-0.8547835780,-0.5857141473,0.1921614286,0.0162697704,0.3778947368,18.1771089559,0.1587715058,0.6823529412
ext_c_ei,EI,ctgan,grouped-condition,0.0798865294,-0.6522708232,-0.3644298221,-0.7321573526,-0.4443163515,0.1921614286,0.0162697704,0.3778947368,18.1771089559,0.1587715058,0.6823529412
ext_c_ei,EI,tvae,experiment-wise,0.2235543029,0.1864245750,0.2240111599,-0.0371297279,0.0004568570,0.2457519048,0.0237156834,0.1527819549,4.8454837101,0.6903518269,0.6470588235
ext_c_ei,EI,tvae,grouped-condition,0.0798865294,0.1342936456,0.1734977943,0.0544071161,0.0936112648,0.2457519048,0.0237156834,0.1527819549,4.8454837101,0.6903518269,0.6470588235
ext_c_ei,EI,tabddpm,experiment-wise,0.2235543029,-1962.6916618048,-1618.0281226676,-1962.9152161077,-1618.2516769706,0.2375476190,0.0324779550,0.5800000000,459.2878287991,0.1773133902,0.5941176471
ext_c_ei,EI,tabddpm,grouped-condition,0.0798865294,-9048.1306668950,-18931.9233946335,-9048.2105534244,-18932.0032811630,0.2375476190,0.0324779550,0.5800000000,459.2878287991,0.1773133902,0.5941176471
ext_c_dst,delta_ST,gaussian_copula,experiment-wise,0.3226115742,-1.1251346941,-0.7932158450,-1.4477462683,-1.1158274192,0.3874080556,0.0201929192,0.1913157895,1.4710030297,0.9423607794,0.9294117647
ext_c_dst,delta_ST,gaussian_copula,grouped-condition,0.2794386677,-0.3330071630,-0.1795152291,-0.6124458307,-0.4589538968,0.3874080556,0.0201929192,0.1913157895,1.4710030297,0.9423607794,0.9294117647
ext_c_dst,delta_ST,ctgan,experiment-wise,0.3226115742,-0.6127653850,-0.3649414846,-0.9353769592,-0.6875530588,0.2160800000,0.0182890829,0.4285338346,5.0131513399,0.1793215254,0.6176470588
ext_c_dst,delta_ST,ctgan,grouped-condition,0.2794386677,-0.6524735745,-0.3605806176,-0.9319122422,-0.6400192853,0.2160800000,0.0182890829,0.4285338346,5.0131513399,0.1793215254,0.6176470588
ext_c_dst,delta_ST,tvae,experiment-wise,0.3226115742,0.1991610270,0.2371652686,-0.1234505472,-0.0854463056,0.2897955556,0.0193220675,0.1577443609,1.4859241304,0.6815225692,0.5529411765
ext_c_dst,delta_ST,tvae,grouped-condition,0.2794386677,0.1371026596,0.1957277849,-0.1423360080,-0.0837108828,0.2897955556,0.0193220675,0.1577443609,1.4859241304,0.6815225692,0.5529411765
ext_c_dst,delta_ST,tabddpm,experiment-wise,0.3226115742,-23437.2653609253,-30789.1983839539,-23437.5879724995,-30789.5209955281,0.2535825000,0.0336712168,0.5707142857,135.0553754092,0.2751834432,0.5764705882
ext_c_dst,delta_ST,tabddpm,grouped-condition,0.2794386677,-13544.6476544941,-28423.0793866350,-13544.9270931618,-28423.3588253026,0.2535825000,0.0336712168,0.5707142857,135.0553754092,0.2751834432,0.5764705882
