seawater_vv,urea_pv,ammonium_sulfate_pv,kh2po4_pv,surface_tension_mNm
100.0,0.5,0.2,1.5,53.56487
100.0,0.5,0.6,1.5,42.22247
0.0,0.5,0.2,1.5,53.56487
100.0,0.0,0.6,0.5,53.56487
0.0,0.0,0.6,1.5,42.22247
0.0,0.0,0.6,0.5,42.22247
100.0,0.0,0.2,1.5,42.22247
0.0,0.5,0.6,1.5,42.22247
0.0,0.5,0.6,0.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.2,0.5,42.22247
100.0,0.5,0.6,0.5,53.56487
50.0,0.5,0.6,0.5,42.22247
0.0,0.0,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,53.56487
100.0,0.0,0.2,1.5,42.22247
100.0,0.0,0.2,0.5,42.22247
0.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,0.5,53.56487
100.0,0.5,0.6,0.5,42.22247
0.0,0.5,0.4,0.5,47.168915
100.0,0.0,0.6,1.5,53.56487
100.0,0.0,0.2,0.5,42.22247
0.0,0.0,0.2,0.5,42.22247
0.0,0.0,0.2,0.5,42.22247
100.0,0.5,0.6,1.5,53.56487
0.0,0.0,0.6,0.5,53.56487
0.0,0.5,0.6,1.5,42.22247
100.0,0.0,0.2,0.5,42.22247
0.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.2,0.5,53.56487
0.0,0.5,0.6,0.5,42.22247
100.0,0.5,0.6,1.5,53.56487
0.0,0.0,0.2,1.5,53.56487
100.0,0.0,0.6,0.5,53.56487
0.0,0.0,0.2,0.5,53.56487
100.0,0.0,0.6,1.5,42.22247
100.0,0.0,0.6,0.5,42.22247
100.0,0.0,0.2,0.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.0,0.2,1.5,42.22247
0.0,0.0,0.6,1.5,42.22247
0.0,0.5,0.6,1.5,53.56487
0.0,0.5,0.6,1.0,42.22247
0.0,0.0,0.2,0.5,42.22247
100.0,0.5,0.2,0.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,53.56487
100.0,0.0,0.6,0.5,53.56487
0.0,0.0,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,53.56487
100.0,0.0,0.6,0.5,53.56487
100.0,0.0,0.6,0.5,53.56487
100.0,0.0,0.4,1.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,42.22247
0.0,0.5,0.2,0.5,42.22247
0.0,0.0,0.6,1.5,42.22247
100.0,0.0,0.6,1.5,53.56487
0.0,0.0,0.2,1.5,42.22247
0.0,0.0,0.6,1.5,53.56487
100.0,0.0,0.2,1.5,53.56487
100.0,0.25,0.6,1.5,46.159718
50.0,0.5,0.2,0.5,42.22247
100.0,0.0,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,53.56487
100.0,0.0,0.6,1.5,42.22247
0.0,0.0,0.2,1.5,53.56487
0.0,0.5,0.2,0.5,53.56487
0.0,0.5,0.6,1.5,53.56487
0.0,0.0,0.2,0.5,42.22247
100.0,0.0,0.2,1.5,42.22247
0.0,0.0,0.6,1.5,42.22247
100.0,0.5,0.2,0.5,42.22247
0.0,0.0,0.6,1.5,42.22247
0.0,0.5,0.6,1.5,42.22247
0.0,0.5,0.2,1.5,53.56487
100.0,0.5,0.6,1.5,42.22247
100.0,0.25,0.6,0.5,42.22247
100.0,0.5,0.6,1.5,42.22247
0.0,0.5,0.6,0.5,53.56487
0.0,0.5,0.2,0.5,42.22247
0.0,0.0,0.6,0.5,53.56487
50.0,0.25,0.4,0.5,50.134007
0.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,0.5,42.22247
100.0,0.5,0.6,0.5,42.22247
100.0,0.0,0.6,1.5,42.22247
0.0,0.5,0.6,1.5,42.22247
0.0,0.5,0.2,1.5,53.56487
100.0,0.0,0.2,0.5,42.22247
100.0,0.5,0.6,1.5,42.22247
100.0,0.0,0.2,1.5,53.56487
100.0,0.5,0.6,0.5,42.22247
100.0,0.0,0.6,1.5,42.22247
0.0,0.5,0.6,1.5,42.22247
0.0,0.5,0.2,0.5,42.22247
100.0,0.5,0.6,1.5,53.56487
0.0,0.5,0.6,0.5,42.22247
0.0,0.0,0.2,1.5,53.56487
0.0,0.0,0.2,1.5,42.22247
100.0,0.5,0.6,0.5,53.56487
100.0,0.0,0.6,0.5,53.56487
100.0,0.0,0.6,0.5,53.56487
100.0,0.0,0.6,1.5,42.22247
0.0,0.0,0.6,1.5,42.22247
0.0,0.0,0.2,0.5,42.22247
100.0,0.5,0.6,1.5,42.22247
0.0,0.0,0.6,0.5,42.22247
0.0,0.5,0.6,1.5,42.22247
100.0,0.0,0.2,1.5,42.22247
0.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,53.56487
100.0,0.5,0.2,1.5,53.56487
0.0,0.5,0.6,1.5,53.56487
0.0,0.25,0.6,1.0,51.150894
0.0,0.5,0.2,1.5,42.22247
100.0,0.0,0.2,0.5,42.22247
100.0,0.5,0.6,1.5,53.56487
100.0,0.5,0.6,1.5,53.56487
100.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,1.5,42.22247
0.0,0.0,0.6,0.5,53.56487
100.0,0.0,0.6,1.5,53.56487
100.0,0.5,0.6,0.5,42.22247
100.0,0.5,0.2,0.5,53.56487
0.0,0.0,0.6,0.5,53.56487
0.0,0.5,0.6,1.5,42.22247
100.0,0.5,0.6,0.5,53.56487
0.0,0.5,0.2,1.5,42.22247
0.0,0.5,0.2,1.5,42.22247
100.0,0.0,0.6,1.5,42.22247
100.0,0.0,0.2,1.5,42.22247
0.0,0.5,0.2,0.5,46.897583
0.0,0.0,0.6,0.5,42.22247
0.0,0.0,0.2,1.5,42.22247
100.0,0.0,0.2,1.5,42.22247
