seawater_vv,urea_pv,ammonium_sulfate_pv,kh2po4_pv,surface_tension_mNm
0.0,0.0,0.2,1.5,43.62410986235921
50.0,0.0,0.6,1.5,44.92834103028366
100.0,0.5,0.2,1.5,48.27066569756701
0.0,0.5,0.2,0.5,45.267728547453395
0.0,0.25,0.6,1.5,45.157515604243436
100.0,0.0,0.6,0.5,53.2276021146183
100.0,0.25,0.6,1.5,44.38405722794009
0.0,0.0,0.4,1.5,46.78787821564259
100.0,0.5,0.2,1.5,50.948379862842785
0.0,0.25,0.4,1.5,49.48270481788305
100.0,0.5,0.4,1.0,45.1006666348386
0.0,0.25,0.6,1.0,46.44454907075807
0.0,0.5,0.4,1.5,49.52912372275844
0.0,0.25,0.2,1.0,49.16365264212393
100.0,0.0,0.6,1.5,49.46572484031674
0.0,0.5,0.2,0.5,48.549012510162214
50.0,0.25,0.2,1.5,49.17110874094058
100.0,0.5,0.2,1.5,42.291741222467955
100.0,0.5,0.6,1.5,44.9550740105147
100.0,0.5,0.2,1.5,47.61970984974942
100.0,0.0,0.2,1.5,47.34739900606902
50.0,0.5,0.6,0.5,50.57799142459355
100.0,0.0,0.2,1.5,49.25824444665834
50.0,0.5,0.2,0.5,50.40864240523906
100.0,0.5,0.4,1.0,46.781834272280896
100.0,0.0,0.6,0.5,42.22
100.0,0.25,0.4,1.0,53.394037429416976
0.0,0.0,0.2,1.5,46.4345828150204
0.0,0.5,0.2,1.5,47.56780574550597
50.0,0.25,0.4,0.5,47.53504901145314
0.0,0.5,0.6,0.5,47.653532542903406
100.0,0.25,0.2,0.5,53.320469365401465
100.0,0.25,0.2,1.5,46.52204957651082
50.0,0.0,0.2,1.0,53.43776588675322
100.0,0.5,0.6,1.5,44.20840032643105
100.0,0.5,0.6,0.5,53.12895785387103
50.0,0.0,0.2,0.5,42.61566428608607
100.0,0.5,0.2,0.5,49.178196068376366
50.0,0.5,0.2,0.5,42.22
100.0,0.5,0.2,0.5,43.6696005496908
100.0,0.25,0.4,0.5,47.59895218196731
50.0,0.0,0.6,1.5,47.658614168082345
100.0,0.25,0.6,0.5,48.48498520965812
100.0,0.0,0.6,1.5,48.39761397263909
50.0,0.25,0.6,0.5,47.46558592231721
50.0,0.0,0.4,1.5,45.15472888225558
0.0,0.5,0.6,1.0,47.64954907130865
50.0,0.5,0.6,1.5,49.132083657139
100.0,0.5,0.2,1.0,49.27905617091637
50.0,0.25,0.6,1.0,45.155714107464334
100.0,0.0,0.2,0.5,49.342062325385925
50.0,0.25,0.6,0.5,53.19654505465214
100.0,0.0,0.2,1.0,48.38232030405775
100.0,0.25,0.2,0.5,50.86973864534719
100.0,0.5,0.2,0.5,44.31536475283812
0.0,0.5,0.6,1.0,43.757400094840335
100.0,0.5,0.4,1.5,51.017296361297205
0.0,0.0,0.6,1.0,53.05006195070656
0.0,0.0,0.6,1.5,46.58749616124471
100.0,0.5,0.2,0.5,48.499345590108305
0.0,0.5,0.2,1.5,47.76888788978251
50.0,0.5,0.4,0.5,53.438539394539646
100.0,0.5,0.6,1.5,47.5818334086706
100.0,0.25,0.4,0.5,46.4359822337007
0.0,0.5,0.6,0.5,42.332170782034375
0.0,0.25,0.6,0.5,47.51555099462553
50.0,0.0,0.6,0.5,42.22
50.0,0.0,0.2,0.5,53.57
50.0,0.0,0.6,1.5,45.081008495990865
0.0,0.0,0.6,1.0,49.1502381574505
100.0,0.5,0.2,1.5,47.554815486806305
0.0,0.5,0.4,1.5,48.55126500240605
100.0,0.0,0.6,1.5,43.832954312800666
50.0,0.25,0.6,1.5,46.26435731890374
0.0,0.5,0.6,0.5,50.92306611361258
100.0,0.0,0.4,0.5,45.258185753844344
50.0,0.0,0.6,1.0,47.41216020403818
100.0,0.5,0.2,0.5,47.823365954482355
100.0,0.5,0.2,1.5,42.22
100.0,0.0,0.2,0.5,49.36489787732624
0.0,0.25,0.2,0.5,52.25310999427344
50.0,0.5,0.4,0.5,49.21384778518283
50.0,0.0,0.2,1.5,53.33356743548477
0.0,0.0,0.6,1.5,44.0776198676598
50.0,0.5,0.2,0.5,49.34797531118855
100.0,0.25,0.2,0.5,47.57542437685436
100.0,0.25,0.4,0.5,49.06783674601894
100.0,0.5,0.4,1.0,53.15913125519901
0.0,0.5,0.6,1.5,43.877941201339205
50.0,0.25,0.6,0.5,48.48962015376455
100.0,0.5,0.2,1.0,46.448259042182436
100.0,0.5,0.2,1.5,47.655184713489476
100.0,0.5,0.2,0.5,48.5725601467774
100.0,0.5,0.6,1.5,44.26437670730724
0.0,0.0,0.6,0.5,46.625966543763035
0.0,0.0,0.2,0.5,42.22
100.0,0.0,0.6,1.5,53.01980050478374
100.0,0.5,0.2,0.5,42.493930454345
0.0,0.0,0.4,1.5,47.627270951006764
50.0,0.0,0.6,1.0,47.55471336505473
100.0,0.0,0.2,1.5,47.53212091607984
100.0,0.0,0.4,1.5,47.39594686700809
100.0,0.0,0.2,1.0,48.67066769276605
0.0,0.0,0.2,0.5,53.2708527965776
100.0,0.0,0.6,1.5,46.42901842434465
100.0,0.25,0.6,1.5,52.09218083208198
0.0,0.0,0.6,1.5,50.58624471488146
50.0,0.5,0.2,0.5,42.22798798020702
0.0,0.5,0.2,0.5,43.697994453079446
0.0,0.25,0.2,0.5,47.64805771141464
0.0,0.5,0.6,0.5,47.554611071358714
0.0,0.0,0.6,0.5,47.741161487989025
0.0,0.5,0.6,1.5,42.23466577340983
0.0,0.0,0.2,1.5,47.55558408954042
100.0,0.5,0.2,0.5,42.22
50.0,0.5,0.2,1.5,47.56907634782822
100.0,0.0,0.2,1.0,53.22045434229797
100.0,0.25,0.2,1.5,45.1743683802509
100.0,0.0,0.2,1.5,49.59357988115678
0.0,0.0,0.2,0.5,53.57
0.0,0.5,0.4,1.0,44.2706097236111
100.0,0.25,0.4,1.5,44.10326308624504
0.0,0.5,0.6,0.5,48.35876381128768
0.0,0.25,0.6,1.5,53.57
50.0,0.0,0.2,1.0,48.33271331097497
100.0,0.0,0.2,0.5,50.637341091151214
0.0,0.5,0.6,0.5,53.53336906639404
100.0,0.25,0.4,1.0,43.71316456380728
100.0,0.0,0.4,0.5,47.79932173638539
100.0,0.0,0.6,1.5,47.37659331045772
0.0,0.0,0.2,0.5,49.30177311371743
0.0,0.0,0.2,0.5,49.158366351347944
0.0,0.0,0.6,1.5,42.34877163471231
50.0,0.0,0.6,1.5,50.633841228779964
100.0,0.5,0.4,0.5,45.00166677046434
100.0,0.0,0.2,1.0,47.74872348332617
0.0,0.0,0.2,0.5,46.50104037586522
50.0,0.25,0.6,0.5,50.33485418658164
0.0,0.0,0.6,0.5,47.519306181890215
100.0,0.0,0.6,0.5,45.066306334352625
