seawater_vv,urea_pv,ammonium_sulfate_pv,kh2po4_pv,surface_tension_mNm
50.0,0.5,0.6,1.0,49.430420954304594
0.0,0.5,0.2,0.5,50.40613767219552
50.0,0.0,0.2,1.0,48.46283504967446
100.0,0.5,0.6,0.5,47.51828379936772
0.0,0.25,0.2,1.5,47.6381924924994
100.0,0.5,0.2,1.5,51.02594285189657
0.0,0.0,0.6,0.5,52.26038087558438
0.0,0.0,0.6,0.5,46.76591554207527
100.0,0.25,0.4,0.5,47.52311154670374
100.0,0.25,0.4,1.5,47.611529793053045
100.0,0.5,0.4,1.5,50.99321000027867
100.0,0.5,0.2,0.5,47.54074474808061
0.0,0.0,0.2,1.5,49.46550828784989
50.0,0.5,0.6,1.5,48.30247727567272
0.0,0.5,0.2,0.5,52.22380844018493
100.0,0.25,0.4,1.5,49.601087943346755
50.0,0.5,0.4,1.0,47.59795304586542
100.0,0.0,0.6,1.5,43.821265125630696
100.0,0.0,0.6,1.5,47.40810163624764
0.0,0.0,0.2,0.5,46.42843201033231
0.0,0.0,0.2,0.5,50.56468247753659
0.0,0.0,0.6,0.5,52.29992105016635
0.0,0.0,0.2,0.5,44.99605034808447
100.0,0.5,0.2,1.5,47.57485716840206
100.0,0.25,0.4,1.5,50.88253806887946
0.0,0.0,0.2,0.5,44.99127199341215
100.0,0.25,0.6,1.0,47.639832167580906
0.0,0.0,0.2,0.5,50.59693370683808
100.0,0.25,0.4,1.5,49.4657203983879
0.0,0.25,0.4,0.5,46.82861053433108
50.0,0.25,0.4,1.5,51.06193820632097
100.0,0.0,0.2,0.5,53.27329874905064
100.0,0.25,0.4,1.0,47.98145443877042
0.0,0.5,0.2,0.5,53.47591436775094
0.0,0.25,0.4,0.5,43.757155448745436
50.0,0.25,0.6,1.0,44.115727351657895
50.0,0.25,0.4,1.0,49.28088475123374
100.0,0.5,0.4,1.5,48.70606156567221
0.0,0.25,0.4,1.5,49.44231618750552
50.0,0.5,0.6,1.5,47.41553194103038
50.0,0.25,0.4,1.0,49.40680150964204
100.0,0.5,0.6,0.5,52.27908572139388
0.0,0.0,0.2,0.5,53.545791855568076
0.0,0.0,0.2,0.5,46.287492099503105
100.0,0.5,0.4,0.5,53.20783833074451
100.0,0.0,0.2,1.5,47.35033471297547
50.0,0.25,0.4,1.5,48.52382463202135
50.0,0.25,0.4,1.0,49.40460514335843
0.0,0.5,0.2,1.5,47.70542874145449
100.0,0.0,0.6,0.5,53.29087911658416
100.0,0.5,0.6,1.5,42.44756215037067
0.0,0.0,0.2,0.5,50.56559972278531
100.0,0.25,0.4,1.5,43.78191714934508
0.0,0.5,0.6,1.5,50.85903571499463
0.0,0.5,0.6,0.5,53.18478967551481
0.0,0.5,0.6,0.5,50.60647859418675
0.0,0.25,0.6,0.5,53.2643306265845
50.0,0.0,0.4,1.0,48.406838041331405
50.0,0.5,0.4,1.0,47.75765794013973
50.0,0.5,0.6,1.5,47.525704040297384
100.0,0.25,0.6,1.0,44.29213682185419
0.0,0.0,0.2,0.5,53.199017442860644
100.0,0.5,0.6,1.5,51.140633569058856
50.0,0.5,0.4,1.5,42.22
0.0,0.0,0.6,0.5,47.52385978418619
50.0,0.25,0.4,1.5,50.902975319915434
50.0,0.25,0.6,1.5,51.01401042830684
100.0,0.25,0.6,1.0,47.742023724164895
100.0,0.25,0.6,1.5,50.99466463010384
100.0,0.5,0.6,0.5,53.10397913188854
0.0,0.25,0.6,0.5,46.74700107492662
50.0,0.0,0.2,1.5,47.508599134132055
100.0,0.0,0.2,0.5,52.41810026838682
50.0,0.25,0.4,1.0,49.34340801676094
100.0,0.25,0.6,1.0,49.40611942715487
50.0,0.0,0.6,1.0,42.56068242714788
0.0,0.5,0.6,0.5,53.42454254670572
100.0,0.5,0.6,1.5,42.25356130698249
0.0,0.0,0.6,1.5,50.984686303230646
100.0,0.25,0.4,1.5,48.623314031987135
50.0,0.0,0.2,1.0,48.295540943610355
0.0,0.5,0.6,0.5,50.596330511804425
0.0,0.5,0.2,0.5,53.57
100.0,0.5,0.6,1.5,42.2398651259559
0.0,0.25,0.6,0.5,53.3792699487615
0.0,0.25,0.6,0.5,52.356305617748
100.0,0.0,0.4,0.5,46.46134197704463
100.0,0.25,0.4,1.0,44.232272603149134
0.0,0.5,0.2,0.5,53.17865814776562
50.0,0.25,0.4,1.0,49.04508290682334
0.0,0.5,0.6,1.5,50.90150192299077
0.0,0.0,0.6,0.5,53.40764064712098
0.0,0.5,0.2,0.5,45.12797832960409
50.0,0.25,0.4,1.0,49.48445894922729
50.0,0.5,0.6,1.5,43.88990525891109
0.0,0.0,0.2,1.5,47.52959759491691
0.0,0.5,0.2,0.5,53.3749025475943
100.0,0.25,0.4,0.5,53.0493920067794
50.0,0.25,0.4,1.0,44.51700013404542
50.0,0.25,0.4,1.0,47.7240544498574
100.0,0.25,0.4,1.5,49.4266145083376
0.0,0.25,0.6,0.5,53.47689266791765
