seawater_vv,urea_pv,ammonium_sulfate_pv,kh2po4_pv,surface_tension_mNm
100.0,0.0,0.2,1.5,43.800922788248755
0.0,0.5,0.6,0.5,47.61774401392582
100.0,0.0,0.6,0.5,50.99500614122696
50.0,0.5,0.4,1.5,44.10924985169402
0.0,0.0,0.2,0.5,47.308987088740004
0.0,0.5,0.2,0.5,46.7542247648803
0.0,0.0,0.6,0.5,52.084071147944876
100.0,0.0,0.2,0.5,43.71596229674258
100.0,0.5,0.6,1.5,46.73492698616511
0.0,0.5,0.6,0.5,53.34948504143883
100.0,0.5,0.2,0.5,47.57805570560893
0.0,0.5,0.6,0.5,46.52523663724098
100.0,0.5,0.2,0.5,47.40062215972513
50.0,0.25,0.4,1.0,47.697838367677655
0.0,0.0,0.2,0.5,46.565029432629
100.0,0.5,0.2,1.5,46.61243848365231
100.0,0.5,0.2,0.5,47.708358685102944
100.0,0.5,0.2,1.5,47.729865413059564
0.0,0.5,0.2,0.5,47.765170057156425
0.0,0.5,0.2,0.5,53.267828929915176
100.0,0.5,0.6,1.5,46.65847622154084
100.0,0.0,0.6,1.5,50.9634355544241
100.0,0.0,0.2,0.5,46.46018840234435
0.0,0.0,0.2,0.5,47.69175854157361
100.0,0.5,0.2,0.5,53.57
50.0,0.25,0.4,1.0,44.159708452490015
100.0,0.5,0.6,0.5,45.160236005096785
0.0,0.5,0.6,1.5,47.64861921220793
100.0,0.5,0.2,1.5,48.62599740381743
0.0,0.0,0.2,0.5,52.2742919077481
100.0,0.5,0.2,1.5,47.67088511573895
0.0,0.0,0.6,0.5,42.235979291219905
100.0,0.5,0.2,0.5,46.76686169029376
100.0,0.0,0.2,0.5,47.57726449585849
100.0,0.5,0.2,0.5,53.43973671872481
100.0,0.0,0.2,0.5,46.322787134890845
50.0,0.25,0.4,1.0,44.12242795030547
0.0,0.5,0.6,0.5,53.147567251530724
0.0,0.0,0.6,0.5,42.23908501282002
50.0,0.25,0.4,1.0,44.3212224020794
0.0,0.0,0.2,1.5,47.54362097828788
100.0,0.5,0.2,0.5,47.67560487488156
0.0,0.5,0.2,0.5,47.647769759862776
100.0,0.0,0.2,0.5,43.865466414254186
100.0,0.5,0.2,0.5,53.56667465701277
0.0,0.5,0.6,0.5,42.2737815583161
0.0,0.0,0.2,0.5,46.53730450806573
100.0,0.5,0.2,0.5,46.543562976890755
100.0,0.0,0.2,1.5,43.84378073968338
0.0,0.0,0.2,0.5,46.31767387014847
100.0,0.5,0.2,1.5,46.483287006721746
100.0,0.5,0.2,0.5,44.29771596877909
0.0,0.5,0.6,0.5,50.631039985214684
100.0,0.0,0.2,1.5,50.97658153210359
100.0,0.5,0.6,1.5,46.84807304153629
100.0,0.0,0.6,0.5,52.05455103824346
0.0,0.5,0.6,0.5,53.224336793158244
0.0,0.5,0.2,0.5,47.77378509652621
0.0,0.0,0.6,0.5,44.83251092483844
100.0,0.0,0.6,1.5,44.37696371479574
0.0,0.5,0.2,0.5,47.520786873421045
0.0,0.5,0.6,0.5,50.551382406349674
0.0,0.5,0.6,0.5,50.7205719017512
0.0,0.0,0.6,0.5,53.127468558024425
100.0,0.5,0.2,1.5,47.504713588173594
50.0,0.25,0.4,1.0,47.77775352869391
100.0,0.5,0.2,1.5,47.77613380886707
100.0,0.0,0.6,0.5,46.78815051835521
0.0,0.5,0.2,0.5,46.624170902370736
0.0,0.0,0.2,0.5,45.019888545072135
0.0,0.0,0.6,0.5,44.96274337969985
0.0,0.0,0.6,0.5,47.608670749883764
0.0,0.5,0.6,0.5,47.44484503056391
0.0,0.5,0.6,0.5,50.54374747853785
100.0,0.5,0.2,1.5,47.574997657529
100.0,0.5,0.6,1.5,46.67519162774053
100.0,0.5,0.2,0.5,47.41622210996389
50.0,0.25,0.4,1.0,49.52020235997008
100.0,0.5,0.2,1.5,47.66181475259046
100.0,0.5,0.2,1.5,46.77837990337653
100.0,0.5,0.6,0.5,47.71628682446147
0.0,0.5,0.2,0.5,42.22
0.0,0.0,0.6,0.5,52.35792356967501
0.0,0.5,0.6,1.5,42.2309561239641
100.0,0.0,0.2,1.0,49.41384218875655
0.0,0.5,0.6,0.5,53.307862240378036
100.0,0.0,0.2,1.5,47.59317827566308
0.0,0.0,0.2,0.5,47.48262715275742
100.0,0.5,0.2,1.5,47.54217061022851
0.0,0.0,0.6,0.5,52.2369516144419
0.0,0.0,0.6,0.5,52.386788748827456
0.0,0.5,0.2,0.5,53.275212979249666
100.0,0.5,0.6,1.5,46.822865108459446
0.0,0.5,0.6,0.5,50.70337976999908
